assertion_id,candidate_id,latitude_deg,longitude_deg,geometry_role,evidence_method,horizontal_uncertainty_m,horizontal_uncertainty_class,source_id,source_locator,verbatim_label,digitization_details,extractor,verifier,review_state,review_note
coord-aysen-mentirosa-dohmen2025,aysen-2007-mentirosa,-45.40,-72.97,unspecified,published_numeric,,gt_5_km_or_unknown,dohmen2025data,Event LTT_AysenFjord_Isla_Mentirosa_2007 Latitude 2 and Longitude 2,tsunamigenic-landslide coordinate WGS84,,codex-root,,pending,Inventory gives no horizontal uncertainty
coord-aysen-punta-dohmen2025,aysen-2007-punta-cola,-45.39,-73.01,unspecified,published_numeric,,gt_5_km_or_unknown,dohmen2025data,Event LTT_AysenFjord_QuebradaSinNombre_2007 Latitude 2 and Longitude 2,tsunamigenic-landslide coordinate WGS84,,codex-root,,pending,Punta Cola alias mapping and horizontal uncertainty require primary review
coord-baige-dohmen2025,baige-2018-oct,31.08,98.71,unspecified,published_numeric,,gt_5_km_or_unknown,dohmen2025data,Event LTT_Baige_2018 Latitude 2 and Longitude 2,tsunamigenic-landslide coordinate WGS84,,codex-root,,pending,Inventory gives no horizontal uncertainty
coord-chehalis-dohmen2025,chehalis-2007,49.47,-122.01,unspecified,published_numeric,,gt_5_km_or_unknown,dohmen2025data,Event LTT_ChehalisLake_2007 Latitude 2 and Longitude 2,tsunamigenic-landslide coordinate WGS84,,codex-root,,pending,Inventory gives no horizontal uncertainty
coord-laguna513-dohmen2025,laguna513-2010,-9.282,-77.645,unspecified,published_numeric,,gt_5_km_or_unknown,dohmen2025data,Event LTT_Peru_2010 Latitude 2 and Longitude 2,tsunamigenic-landslide coordinate WGS84,,codex-root,,pending,Differs by roughly ten kilometres from current catalog coordinate; primary identity review required
coord-askja-dohmen2025,askja-2014,65.02,-16.70,unspecified,published_numeric,,gt_5_km_or_unknown,dohmen2025data,Event LTT_LakeAskja_2014 Latitude 2 and Longitude 2,tsunamigenic-landslide coordinate WGS84,,codex-root,,pending,Inventory gives no horizontal uncertainty
coord-eqip-dohmen2025,eqip-sermia-2014,69.80,-50.217,unspecified,published_numeric,,gt_5_km_or_unknown,dohmen2025data,Event LTT_Greenland_2014 Latitude 2 and Longitude 2,tsunamigenic-landslide coordinate WGS84,,codex-root,,pending,Inventory gives no horizontal uncertainty
coord-taan-dohmen2025,taan-2015,60.17,-141.18,unspecified,published_numeric,,gt_5_km_or_unknown,dohmen2025data,Event LTT_TaanFjord_2015 Latitude 2 and Longitude 2,tsunamigenic-landslide coordinate WGS84,,codex-root,,pending,Inventory gives no horizontal uncertainty
coord-karrat-dohmen2025,karrat-2017,71.64,-52.35,unspecified,published_numeric,,gt_5_km_or_unknown,dohmen2025data,Event LTT_KarratFjord_2017 Latitude 2 and Longitude 2,tsunamigenic-landslide coordinate WGS84,,codex-root,,pending,Inventory gives no horizontal uncertainty
coord-elliot-dohmen2025,elliot-creek-2020,50.97,-124.61,unspecified,published_numeric,,gt_5_km_or_unknown,dohmen2025data,Event LTT_ElliotCreek_2020 Latitude 2 and Longitude 2,tsunamigenic-landslide coordinate WGS84,,codex-root,,pending,Inventory gives no horizontal uncertainty
coord-dickson-dohmen2025,dickson-2023,72.81,-26.948,unspecified,published_numeric,,gt_5_km_or_unknown,dohmen2025data,Event LTT_DicksonFjord_2023 Latitude 2 and Longitude 2,tsunamigenic-landslide coordinate WGS84,,codex-root,,pending,Inventory gives no horizontal uncertainty
coord-chamoli-zhong2024,chamoli-2021,30.376542,79.732471,source_area_centroid,published_numeric,,gt_5_km_or_unknown,zhong2024data,Workbook row 3 ID 1 longitude latitude and detachment-zone fields,Ronti Gad source area,,codex-root,,pending,Coordinate definition and horizontal uncertainty require independent review
coord-seti-zhong2024,seti-2012,28.530416,84.051029,source_area_centroid,published_numeric,,gt_5_km_or_unknown,zhong2024data,Workbook row 5 ID 3 longitude latitude and detachment-zone fields,Seti Khola source area,,codex-root,,pending,Coordinate definition and horizontal uncertainty require independent review
coord-yulong-zhong2024,yulong-2004,27.090639,100.18447,source_area_centroid,published_numeric,,gt_5_km_or_unknown,zhong2024data,Workbook row 22 ID 20 longitude latitude and detachment-zone fields,Yulong Mountain source area,,codex-root,,pending,Compound date includes a disputed 2005 assertion; coordinate definition requires review
coord-aru1-zhong2024,aru-1-2016,34.018816,82.243666,source_area_centroid,published_numeric,,gt_5_km_or_unknown,zhong2024data,Workbook row 23 ID 21 longitude latitude and detachment-zone fields,Aru-1 detachment zone,,codex-root,,pending,Coordinate definition and horizontal uncertainty require independent review
coord-aru2-zhong2024,aru-2-2016,34.005936,82.254926,source_area_centroid,published_numeric,,gt_5_km_or_unknown,zhong2024data,Workbook row 24 ID 22 longitude latitude and detachment-zone fields,Aru-2 detachment zone,,codex-root,,pending,Coordinate definition and horizontal uncertainty require independent review
coord-naltar-zhong2024,naltar-2021,36.220482,74.085186,source_area_centroid,published_numeric,,gt_5_km_or_unknown,zhong2024data,Workbook row 34 ID 29 longitude latitude and detachment-zone fields,Upper Naltar source area,,codex-root,,pending,Coordinate definition and horizontal uncertainty require independent review
coord-sedongpu2017-zhong2024,sedongpu-2017-oct,29.818611,94.951749,source_area_centroid,published_numeric,,gt_5_km_or_unknown,zhong2024data,Workbook row 50 ID 43 longitude latitude and detachment-zone fields,Gyala Peri detachment zone,,codex-root,,pending,Compound inventory row; event allocation and horizontal uncertainty require review
coord-sedongpu2018-zhong2024,sedongpu-2018,29.800175,94.955434,source_area_centroid,published_numeric,,gt_5_km_or_unknown,zhong2024data,Workbook row 51 ID 43 longitude latitude and detachment-zone fields,Sedongpu Glacier detachment zone,,codex-root,,pending,Coordinate differs from rounded catalog value; horizontal uncertainty requires review
coord-sedongpu2021-zhong2024,sedongpu-2021-mar,29.819987,94.947812,source_area_centroid,published_numeric,,gt_5_km_or_unknown,zhong2024data,Workbook row 52 ID 43 longitude latitude and detachment-zone fields,March 2021 source area,,codex-root,,pending,Compound inventory row; event allocation and horizontal uncertainty require review
coord-elliot-earthscope,elliot-creek-2020,50.9782,-124.6117,unspecified,published_numeric,,gt_5_km_or_unknown,earthscope-esec,ESEC event 151 Elliot Creek 1,rock-avalanche seismic-source coordinate,,codex-root,,pending,Authoritative catalog gives no horizontal uncertainty; independent check pending
coord-karrat-svennevig2020,karrat-2017,71.6433333,-52.3366667,initiating_source,published_numeric,,le_1_km,svennevig2020,Section 3.3.3 and Figures 1 and 6,"71 deg 38 min 36 sec N, 52 deg 20 min 12 sec W",,codex-root,,pending,Coordinate is tied to mapped 2017 scar; independent check pending
coord-taan-gualtieri2018,taan-2015,60.175,-141.187,initiating_source,published_numeric,,le_1_km,gualtieri2018,Section 2 Figure 1 and Table 1,landslide latitude 60.175 N longitude 141.187 W,,codex-root,,pending,Seismic and mapped source location; independent check pending
coord-pedersen-usgs,pedersen-2024,59.9038,-149.8246,initiating_source,published_numeric,,le_1_km,usgs-pedersen2026,Scientific Findings paragraph 1,southwest-facing slope above Pedersen Glacier terminus WGS84,,codex-root,,pending,USGS marks coordinate approximate; source slope role explicit
coord-pedersen-earthscope,pedersen-2024,59.9076,-149.8217,unspecified,published_numeric,,gt_5_km_or_unknown,earthscope-esec,ESEC event 326 Pedersen Lagoon,landslide seismic-source coordinate,,codex-root,,pending,Differs from updated USGS coordinate; catalog gives no horizontal uncertainty
coord-baige-earthscope,baige-2018-oct,31.0828,98.6982,unspecified,published_numeric,,gt_5_km_or_unknown,earthscope-esec,ESEC event 274 Baige Tibet,rock-slide seismic-source coordinate,,codex-root,,pending,Differs from published study-site coordinate; catalog gives no uncertainty
coord-bukadaban-kaab2026,bukadaban-2022,35.969,90.869,source_area_centroid,published_numeric,,le_5_km,kaab2026,Figure 1d caption,detached glacier tongue coordinate,,codex-root,,pending,The 1.1 km tongue is mapped but the point definition and horizontal uncertainty are not stated
coord-steller-moretti2012,steller-2005,60.52,-143.09,initiating_source,published_numeric,,le_5_km,moretti2012,Section 2 paragraph 6 and Figure 1b,summit area of the southern flank collapsed,,codex-root,,pending,Source sector is clear but exact point and horizontal uncertainty are not stated
coord-hillary-cox2015,hillary-2014,-43.6165,170.1427,initiating_source,published_numeric,,le_1_km,cox2015,Abstract and source-slope elevation range,slope below Hillary Ridge between 2600 and 2920 m,,codex-root,,pending,Published point is explicitly tied to the collapsed source slope
coord-flatcreek-kaab2021,flat-creek-2013,61.50,-141.54,source_area_centroid,published_numeric,,le_5_km,kaab2021,Table 1 and Figure 14c,lower 500 m of Flat Creek Glacier detached,,codex-root,,pending,Table coordinate covers repeat detachments; figure establishes the 2013 source part
coord-kolka-kaab2021,kolka-2002,42.73,44.44,source_area_centroid,published_numeric,,le_5_km,kaab2021,Table 1 and Figures 2 and 4d,Kolka Glacier detachment zone,,codex-root,,pending,Coordinate is shared with repeat events but mapped to the evacuated 2002 glacier bed
coord-yigong-wang2017,yigong-2000,30.2030556,94.9675,source_area_centroid,published_numeric,,le_1_km,wang2017,Section 2.1 and Figure 1,"E94 deg 58 min 03 sec, N30 deg 12 min 11 sec",,codex-root,,pending,Text and figure tie the DMS point to the steep source area
coord-yigong-ahsan2025,yigong-2000,30.23,94.98,unspecified,published_numeric,,gt_5_km_or_unknown,ahsan2025,Data subsection and Figure 1,landslide occurred at 30.23 N 94.98 E,,codex-root,,pending,Figure maps the scar but the numeric point role and uncertainty are not defined
coord-aysen-punta-uribe2025,aysen-2007-punta-cola,-45.3814206,-72.9966391,source_area_centroid,published_numeric,,le_1_km,uribe2025,Section 2.2 page 7 and Figure 3b,centroid of the main landslide,"Converted from published WGS84 UTM 18S 656844 E 4972725 N using EPSG:32718 to EPSG:4326; Redfield Figure 3 checks scar identity",agent-audit-na,,pending,Main failure plus smaller scars and no formal horizontal error require the conservative class
coord-tsar-jiskoot2011,tsar-2000,52.0777778,-117.7911111,unspecified,published_numeric,,gt_5_km_or_unknown,jiskoot2011,Pages 203-204 and Figure 1,"rockslide/glacier at 52 deg 4 min 40 sec N 117 deg 47 min 28 sec W",,agent-audit-na,,pending,Number is not explicitly defined as the scar or detachment centroid
coord-tsar-nrcan,tsar-2000,52.096111,-117.806389,named_feature,authoritative_gazetteer,,gt_5_km_or_unknown,nrcan-tsar,Unique ID JBQLJ,Tsar Mountain,,agent-audit-na,,pending,Gazetteer point cannot establish the avalanche source
coord-denali-mcginnis-n-delaney2014,denali-mcginnis-n-2002,63.56797500,-146.25308333,unspecified,published_numeric,,gt_5_km_or_unknown,delaney2014,Table 1-1 thesis page 4,Event Location McGinnis North,,agent-audit-na,,pending,Table does not define whether event location is scar deposit or generic point
coord-denali-mcginnis-s-delaney2014,denali-mcginnis-s-2002,63.54154722,-146.24327778,unspecified,published_numeric,,gt_5_km_or_unknown,delaney2014,Table 1-1 thesis page 4,Event Location McGinnis South,,agent-audit-na,,pending,Table does not define whether event location is scar deposit or generic point
coord-denali-black-e-delaney2014,denali-black-rapids-e-2002,63.46111389,-146.16450833,unspecified,published_numeric,,gt_5_km_or_unknown,delaney2014,Table 1-1 thesis page 4,Event Location Black Rapids East,,agent-audit-na,,pending,Table does not define whether event location is scar deposit or generic point
coord-denali-black-m-delaney2014,denali-black-rapids-m-2002,63.47396667,-146.25547222,unspecified,published_numeric,,gt_5_km_or_unknown,delaney2014,Table 1-1 thesis page 4,Event Location Black Rapids Middle,,agent-audit-na,,pending,Table does not define whether event location is scar deposit or generic point
coord-denali-black-w-delaney2014,denali-black-rapids-w-2002,63.47396667,-146.32048333,unspecified,published_numeric,,gt_5_km_or_unknown,delaney2014,Table 1-1 thesis page 4,Event Location Black Rapids West,,agent-audit-na,,pending,Table does not define whether event location is scar deposit or generic point
coord-denali-westfork-n-delaney2014,denali-west-fork-n-2002,63.44112778,-147.49575000,unspecified,published_numeric,,gt_5_km_or_unknown,delaney2014,Table 1-1 thesis page 4,Event Location West Fork North,,agent-audit-na,,pending,Table does not define whether event location is scar deposit or generic point
coord-denali-westfork-s-delaney2014,denali-west-fork-s-2002,63.44928056,-147.49366944,unspecified,published_numeric,,gt_5_km_or_unknown,delaney2014,Table 1-1 thesis page 4,Event Location West Fork South,,agent-audit-na,,pending,Table does not define whether event location is scar deposit or generic point
coord-iliamna-caplan2007,iliamna-2003,60.0285,-153.0835,initiating_source,figure_digitized,,le_1_km,caplanauerbach2007,Figure 1b and pages 129-131,25 July 2003 Red Glacier avalanche headwall,"Manual linear interpolation of inverted-triangle center against 2 arcmin latitude and 4 arcmin longitude graticule; marker width and raster resolution included in class",agent-audit-na,,pending,Paper states photographs did not clearly resolve the exact failure zone
coord-iliamna-avo,iliamna-2003,60.0333333,-153.0666667,named_feature,authoritative_gazetteer,,gt_5_km_or_unknown,avo-iliamna2003,Event-page header,Mount Iliamna volcano reference coordinate,,agent-audit-na,,pending,Header point is the volcano rather than the avalanche headwall
coord-steele-lipovsky2008,steele-2007,61.111,-140.303,source_area_centroid,figure_digitized,,le_1_km,lipovsky2008,Figure 3 journal page 448,centroid of red source-zone polygon,"Manual interpolation from 1 arcmin graticule on LiDAR hillshade and 1:50000 pre-event topography; source polygon is roughly 2 km long",agent-audit-na,,pending,Independent reproduction of digitization pending
coord-steele-named-lipovsky2008,steele-2007,61.0931667,-140.3106667,named_feature,published_numeric,,gt_5_km_or_unknown,lipovsky2008,Introduction page 445,"Mount Steele at 61 deg 05 min 35.4 sec N 140 deg 18 min 38.4 sec W",,agent-audit-na,,pending,Explicitly the mountain coordinate rather than the source-zone centroid
coord-meager-guthrie2012,meager-2010,50.623,-123.501,initiating_source,published_numeric,,le_1_km,guthrie2012,Introduction page 1277,landslide was initiated on Mount Meager at 50.623 N 123.501 W,,agent-audit-na,,pending,Explicit initiation coordinate; no formal survey error
coord-lituya-coe2018,lituya-2012,58.79375556,-137.44294444,source_area_centroid,published_numeric,,le_1_km,coe2018,Table 1 event ID 5 page 397,"center of head scarp 58 deg 47 min 37.52 sec N 137 deg 26 min 34.60 sec W",,agent-audit-na,,pending,Headscarps mapped from 30 m Landsat and 5 m DEM; obscured cases may be approximate
coord-lituya-hibert2017,lituya-2012,58.80,-137.43,unspecified,published_numeric,,gt_5_km_or_unknown,hibert2017,Appendix A Mount Lituya,event location,,agent-audit-na,,pending,Seismic/event point is not defined as a headscarp coordinate
coord-laperouse-coe2018,la-perouse-2014,58.56133611,-137.07338611,source_area_centroid,published_numeric,,le_1_km,coe2018,Table 1 event ID 3 page 397,"center of head scarp 58 deg 33 min 40.81 sec N 137 deg 04 min 24.19 sec W",,agent-audit-na,,pending,Headscarp mapping basis supports source role but no formal horizontal error
coord-laperouse-hibert2019,la-perouse-2014,58.561,-137.062,unspecified,published_numeric,,gt_5_km_or_unknown,hibert2019,Results paragraph beginning Among the 5087 landslides,event location,,agent-audit-na,,pending,Seismic location is about 0.7 km from mapped headscarp but lacks scar semantics
coord-lamplugh-coe2018,lamplugh-2016,58.73144722,-136.89331944,source_area_centroid,published_numeric,,le_1_km,coe2018,Table 1 continuation event ID 20 page 397,"center of head scarp 58 deg 43 min 53.21 sec N 136 deg 53 min 35.95 sec W",,agent-audit-na,,pending,Headscarp mapping basis supports source role but no formal horizontal error
coord-lamplugh-hibert2019,lamplugh-2016,58.775,-136.935,unspecified,published_numeric,,gt_5_km_or_unknown,hibert2019,Results Lamplugh event point,event location,,agent-audit-na,,pending,Approximately 5 km from mapped headscarp and lacks scar semantics
